PM2.5,PM10,NO,NO2,NOx,CO,SO2,AQI
0.070962,0.118118,0.002304,0.050276,0.036674,0.005233,0.142533,0.075375
0.070962,0.118118,0.002432,0.043291,0.035199,0.005517,0.126593,0.075375
0.070962,0.118118,0.044489,0.053258,0.063512,0.09897,0.14991,0.075375
0.070962,0.118118,0.0043,0.050994,0.038428,0.00967,0.095847,0.075375
0.070962,0.118118,0.05652,0.059111,0.080748,0.125704,0.202837,0.075375
0.070962,0.118118,0.116188,0.106212,0.174283,0.25829,0.236007,0.075375
0.070962,0.118118,0.287053,0.11212,0.279644,0.637961,0.166469,0.075375
0.070962,0.118118,0.206957,0.101408,0.206894,0.459985,0.198762,0.075375
0.070962,0.118118,0.074592,0.08556,0.102645,0.165861,0.302657,0.075375
0.070962,0.118118,0.044936,0.019409,0,0.01279,0.042713,0.075375
0.070962,0.118118,0.338018,0.154031,0.052456,0.751209,0.129069,0.075375
0.070962,0.118118,0.133159,0.112258,0.192973,0.296001,0.267372,0.075375
0.070962,0.118118,0.124917,0.122004,0.186237,0.277686,0.351818,0.075375
0.070962,0.118118,0.049096,0.076891,0.070676,0.109209,0.27155,0.075375
0.070962,0.118118,0.001485,0.046797,0.035498,0.003413,0.148981,0.075375
0.070962,0.118118,0.004121,0.059939,0.048885,0.009271,0.197369,0.075375
0.070962,0.118118,0.029233,0.06825,0.074311,0.06507,0.2553,0.075375
0.070962,0.118118,0.015563,0.071121,0.063234,0.034697,0.249781,0.075375
0.070962,0.118118,0.006374,0.074186,0.0587,0.014277,0.258035,0.075375
0.070962,0.118118,0.020222,0.073965,0.069286,0.045049,0.303637,0.075375
0.070962,0.118118,0.024318,0.092628,0.083998,0.054149,0.55156,0.075375
0.070962,0.118118,0.023115,0.048316,0.047751,0.051476,0.122259,0.075375
0.070962,0.118118,0.05762,0.077167,0.102196,0.12815,0.202115,0.075375
0.070962,0.118118,0.005145,0.056267,0.045763,0.011547,0.206655,0.075375
0.070962,0.118118,0.003584,0.056378,0.043175,0.008077,0.301264,0.075375
0.070962,0.118118,0.005759,0.058393,0.046639,0.012912,0.225535,0.075375
0.070962,0.118118,0.005555,0.059884,0.04974,0.012457,0.223214,0.075375
0.077057,0.118118,0.014591,0.058255,0.055257,0.032535,0.188342,0.075375
0.087468,0.118118,0.017688,0.079238,0.072108,0.039418,0.255404,0.096267
0.084004,0.118118,0.035402,0.079155,0.087847,0.078778,0.25009,0.154715
0.099458,0.118118,0.062382,0.090144,0.112503,0.138729,0.347588,0.246071
0.143113,0.118118,0.111248,0.116151,0.180848,0.247312,0.388032,0.377701
0.187684,0.118118,0.13961,0.09746,0.155679,0.310335,0.283879,0.442534
